"Date","Price","Open","High","Low","Vol.","Change %"
"11-07-2023","76.80","75.05","77.00","74.90","42.95M","2.67%"
"10-07-2023","74.80","73.45","75.55","73.40","33.81M","2.12%"
"07-07-2023","73.25","74.80","74.90","73.00","26.60M","-2.01%"
"06-07-2023","74.75","74.45","75.25","74.30","24.47M","0.95%"
"05-07-2023","74.05","74.85","75.10","73.70","25.46M","-1.00%"
"04-07-2023","74.80","75.80","76.20","74.50","24.15M","-1.12%"
"03-07-2023","75.65","75.45","77.25","74.55","49.24M","0.80%"
"30-06-2023","75.05","75.00","75.45","74.00","49.25M","0.20%"
"28-06-2023","74.90","77.00","77.00","74.60","30.57M","-1.64%"
"27-06-2023","76.15","75.15","76.95","74.85","59.08M","1.74%"
"26-06-2023","74.85","74.15","75.25","73.80","30.41M","0.94%"
"23-06-2023","74.15","73.90","75.30","72.55","51.78M","-0.27%"
"22-06-2023","74.35","75.50","75.85","73.65","40.42M","-1.00%"
"21-06-2023","75.10","76.10","77.35","74.65","31.90M","-0.99%"
"20-06-2023","75.85","76.00","76.40","74.80","30.59M","0.00%"
"19-06-2023","75.85","74.60","77.00","74.10","62.75M","1.88%"
"16-06-2023","74.45","75.55","76.00","73.90","45.78M","-0.87%"
"15-06-2023","75.10","74.50","76.10","73.10","93.32M","1.35%"
"14-06-2023","74.10","78.30","78.45","73.25","83.19M","-5.36%"
"13-06-2023","78.30","77.90","78.80","76.70","81.86M","0.45%"
"12-06-2023","77.95","78.30","80.30","76.50","105.39M","0.45%"
"09-06-2023","77.60","77.05","78.00","75.85","77.28M","2.37%"
"08-06-2023","75.80","74.80","76.35","73.70","88.01M","1.74%"
"07-06-2023","74.50","72.50","75.00","72.40","67.87M","2.97%"
"06-06-2023","72.35","71.55","73.15","71.35","64.76M","1.54%"
"05-06-2023","71.25","71.30","72.15","69.60","84.08M","0.14%"
"02-06-2023","71.15","70.00","73.20","69.50","170.77M","4.71%"
"01-06-2023","67.95","68.70","68.80","67.60","57.85M","-1.59%"
"31-05-2023","69.05","67.30","70.00","66.30","251.81M","3.29%"
"30-05-2023","66.85","67.50","68.30","66.45","60.70M","-0.37%"
"29-05-2023","67.10","67.80","68.40","66.60","56.97M","-0.22%"
"26-05-2023","67.25","67.30","68.25","65.75","86.47M","-0.07%"
"25-05-2023","67.30","64.80","68.20","64.50","139.72M","4.42%"
"24-05-2023","64.45","63.00","64.70","62.75","60.48M","1.98%"
"23-05-2023","63.20","63.05","64.00","62.55","50.80M","-0.47%"
"22-05-2023","63.50","64.70","66.85","61.80","147.01M","-1.55%"
"19-05-2023","64.50","63.95","65.00","63.20","73.62M","1.57%"
"18-05-2023","63.50","64.20","64.60","63.10","54.30M","0.24%"
"17-05-2023","63.35","63.00","64.05","62.25","47.45M","0.56%"
"16-05-2023","63.00","64.00","65.00","62.40","59.31M","-1.10%"
"15-05-2023","63.70","62.10","64.10","61.95","55.89M","1.76%"
"12-05-2023","62.60","62.50","63.65","61.60","73.17M","0.32%"
"11-05-2023","62.40","62.60","63.50","62.00","75.06M","0.97%"
"10-05-2023","61.80","61.00","62.90","60.95","70.22M","1.39%"
"09-05-2023","60.95","64.70","64.70","60.30","127.86M","-6.09%"
"08-05-2023","64.90","64.60","66.20","63.50","104.94M","-0.76%"
